Taxa,Metabolite,Potential Score
Chloroflexus,3-Hydroxyanthranilate,1.893618e-05
Christensenella,3-Hydroxyanthranilate,1.893618e-05
Desulfomicrobium,3-Hydroxyanthranilate,1.893618e-05
Edwardsiella,3-Hydroxyanthranilate,1.893618e-05
Granulicatella,3-Hydroxyanthranilate,1.893618e-05
Grimontia,3-Hydroxyanthranilate,1.893618e-05
Hungateiclostridium,3-Hydroxyanthranilate,1.893618e-05
Isoptericola,3-Hydroxyanthranilate,1.893618e-05
Kingella,3-Hydroxyanthranilate,1.893618e-05
Kurthia,3-Hydroxyanthranilate,1.893618e-05
Leptotrichia,3-Hydroxyanthranilate,1.893618e-05
Methylotenera,3-Hydroxyanthranilate,1.893618e-05
Methyloversatilis,3-Hydroxyanthranilate,1.893618e-05
Micrococcus,3-Hydroxyanthranilate,1.893618e-05
Peptostreptococcus,3-Hydroxyanthranilate,1.893618e-05
Romboutsia,3-Hydroxyanthranilate,1.893618e-05
Barnesiella,3-Hydroxyanthranilate,1.893639e-05
Butyricimonas,3-Hydroxyanthranilate,1.893639e-05
Cloacibacillus,3-Hydroxyanthranilate,1.893639e-05
Cronobacter,3-Hydroxyanthranilate,1.893639e-05
Dictyoglomus,3-Hydroxyanthranilate,1.893639e-05
Dorea,3-Hydroxyanthranilate,1.893639e-05
Faecalicatena,3-Hydroxyanthranilate,1.893639e-05
Gardnerella,3-Hydroxyanthranilate,1.893639e-05
Gordonibacter,3-Hydroxyanthranilate,1.893639e-05
Kluyvera,3-Hydroxyanthranilate,1.893639e-05
Lachnoanaerobaculum,3-Hydroxyanthranilate,1.893639e-05
Lachnospira,3-Hydroxyanthranilate,1.893639e-05
Massilimicrobiota,3-Hydroxyanthranilate,1.893639e-05
Mitsuokella,3-Hydroxyanthranilate,1.893639e-05
Mobiluncus,3-Hydroxyanthranilate,1.893639e-05
Odoribacter,3-Hydroxyanthranilate,1.893639e-05
Oscillibacter,3-Hydroxyanthranilate,1.893639e-05
Paeniclostridium,3-Hydroxyanthranilate,1.893639e-05
Paraprevotella,3-Hydroxyanthranilate,1.893639e-05
Parvimonas,3-Hydroxyanthranilate,1.893639e-05
Pelodictyon,3-Hydroxyanthranilate,1.893639e-05
Plesiomonas,3-Hydroxyanthranilate,1.893639e-05
Salinispora,3-Hydroxyanthranilate,1.893639e-05
Salmonella,3-Hydroxyanthranilate,1.893639e-05
Solobacterium,3-Hydroxyanthranilate,1.893639e-05
Succinivibrio,3-Hydroxyanthranilate,1.893639e-05
Turicibacter,3-Hydroxyanthranilate,1.893639e-05
unclassified_Clostridiales,3-Hydroxyanthranilate,1.893639e-05
unclassified_Erysipelotrichaceae,3-Hydroxyanthranilate,1.893639e-05
Wolinella,3-Hydroxyanthranilate,1.893639e-05
Staphylococcus,L-Kynurenine,1.117542e-04
Burkholderia,L-Formylkynurenine,1.264731e-03
Bifidobacterium,3-Hydroxyanthranilate,8.340798e-06
Nocardia,L-Formylkynurenine,1.944976e-05
