loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
35738.0	1827	genus	0.00751512	Rhodococcus
35738.0	1486726	genus	0.00751512	Pseudobacteroides
35738.0	1378	genus	0.00751512	Gemella
35738.0	32207	genus	0.00751512	Rothia
35738.0	724	genus	0.00751512	Haemophilus
35738.0	41275	genus	0.00751512	Brevundimonas
35738.0	670486	genus	0.00751512	Dehalogenimonas
35738.0	392735	genus	0.00751512	Uliginosibacterium
35738.0	52784	genus	0.00751512	Anaerofilum
35738.0	59732	genus	0.00751512	Chryseobacterium
35738.0	83660	genus	0.00751512	Desulfonispora
35738.0	233191	genus	0.00751512	Caldilinea
35738.0	420345	genus	0.00375756	Lactonifactor
35738.0	441	genus	0.00375756	Gluconobacter
35738.0	379	genus	0.00375756	Rhizobium
35738.0	117563	genus	0.00375756	Granulicatella
35738.0	469	genus	0.00375756	Acinetobacter
35738.0	1742989	genus	0.00375756	Glutamicibacter
35738.0	1357	genus	0.00375756	Lactococcus
35738.0	1269	genus	0.00375756	Micrococcus
35738.0	626	genus	0.00375756	Xenorhabdus
35738.0	28138	genus	0.00375756	Rikenella
35738.0	1164882	genus	0.00375756	Lachnoanaerobaculum
35738.0	1350	genus	0.00375756	Enterococcus
35738.0	61434	genus	0.00375756	Dehalococcoides
35738.0	137460	genus	0.00375756	Aerosphaera
35738.0	1380	genus	0.00375756	Atopobium
35738.0	31983	genus	0.00375756	Helcococcus
35738.0	375928	genus	0.00375756	Natranaerobius
35738.0	1253	genus	0.00375756	Pediococcus
35738.0	379899	genus	0.00375756	Niabella
35738.0	44249	genus	0.00375756	Paenibacillus
35738.0	848	genus	0.00375756	Fusobacterium
35738.0	207599	genus	0.00375756	Solirubrobacter
35738.0	1562	genus	0.00375756	Desulfotomaculum
35738.0	44262	genus	0.00375756	Oxalophagus
